Region,Codigo region,Publicacion,Semana Epidemiologica,Casos confirmados
Valparaíso,05,2020-05-11,SE12,0.0
Metropolitana,13,2020-05-11,SE12,0.0
O’Higgins,06,2020-05-11,SE12,0.0
Maule,07,2020-05-11,SE12,0.0
Ñuble,16,2020-05-11,SE12,0.0
Biobío,08,2020-05-11,SE12,0.0
Araucanía,09,2020-05-11,SE12,0.0
Los Ríos,14,2020-05-11,SE12,0.0
Los Lagos,10,2020-05-11,SE12,10.0
Aysén,11,2020-05-11,SE12,0.0
Magallanes,12,2020-05-11,SE12,0.0
Arica y Parinacota,15,2020-05-08,SE12,0.0
Tarapacá,01,2020-05-08,SE12,0.0
Antofagasta,02,2020-05-08,SE12,0.0
Atacama,03,2020-05-08,SE12,0.0
Coquimbo,04,2020-05-08,SE12,0.0
Valparaíso,05,2020-05-08,SE12,0.0
Metropolitana,13,2020-05-08,SE12,0.0
O’Higgins,06,2020-05-08,SE12,0.0
Maule,07,2020-05-08,SE12,0.0
Ñuble,16,2020-05-08,SE12,0.0
Biobío,08,2020-05-08,SE12,0.0
Araucanía,09,2020-05-08,SE12,0.0
Los Ríos,14,2020-05-08,SE12,0.0
Los Lagos,10,2020-05-08,SE12,10.0
Aysén,11,2020-05-08,SE12,0.0
Magallanes,12,2020-05-08,SE12,0.0
Arica y Parinacota,15,2020-05-15,SE12,0.0
Tarapacá,01,2020-05-15,SE12,0.0
Antofagasta,02,2020-05-15,SE12,0.0
Atacama,03,2020-05-15,SE12,0.0
Coquimbo,04,2020-05-15,SE12,0.0
Valparaíso,05,2020-05-15,SE12,0.0
Metropolitana,13,2020-05-15,SE12,0.0
O’Higgins,06,2020-05-15,SE12,0.0
Maule,07,2020-05-15,SE12,0.0
Ñuble,16,2020-05-15,SE12,0.0
Biobío,08,2020-05-15,SE12,0.0
Araucanía,09,2020-05-15,SE12,0.0
Los Ríos,14,2020-05-15,SE12,0.0
Los Lagos,10,2020-05-15,SE12,10.0
Aysén,11,2020-05-15,SE12,0.0
Magallanes,12,2020-05-15,SE12,0.0
Arica y Parinacota,15,2020-05-22,SE12,0.0
Tarapacá,01,2020-05-22,SE12,0.0
Antofagasta,02,2020-05-22,SE12,0.0
Atacama,03,2020-05-22,SE12,0.0
Coquimbo,04,2020-05-22,SE12,0.0
Valparaíso,05,2020-05-22,SE12,0.0
Metropolitana,13,2020-05-22,SE12,0.0
O’Higgins,06,2020-05-22,SE12,0.0
Maule,07,2020-05-22,SE12,0.0
Ñuble,16,2020-05-22,SE12,0.0
Biobío,08,2020-05-22,SE12,0.0
Araucanía,09,2020-05-22,SE12,0.0
Los Ríos,14,2020-05-22,SE12,0.0
Los Lagos,10,2020-05-22,SE12,10.0
Aysén,11,2020-05-22,SE12,0.0
Magallanes,12,2020-05-22,SE12,0.0
Arica y Parinacota,15,2020-05-04,SE12,0.0
Tarapacá,01,2020-05-04,SE12,0.0
Antofagasta,02,2020-05-04,SE12,0.0
Atacama,03,2020-05-04,SE12,0.0
Coquimbo,04,2020-05-04,SE12,0.0
Valparaíso,05,2020-05-04,SE12,0.0
Metropolitana,13,2020-05-04,SE12,0.0
O’Higgins,06,2020-05-04,SE12,0.0
Maule,07,2020-05-04,SE12,0.0
Ñuble,16,2020-05-04,SE12,0.0
Biobío,08,2020-05-04,SE12,0.0
Araucanía,09,2020-05-04,SE12,0.0
Los Ríos,14,2020-05-04,SE12,0.0
Los Lagos,10,2020-05-04,SE12,10.0
Aysén,11,2020-05-04,SE12,0.0
Magallanes,12,2020-05-04,SE12,0.0
Arica y Parinacota,15,2020-05-01,SE12,0.0
Tarapacá,01,2020-05-01,SE12,0.0
Antofagasta,02,2020-05-01,SE12,0.0
Atacama,03,2020-05-01,SE12,0.0
Coquimbo,04,2020-05-01,SE12,0.0
Valparaíso,05,2020-05-01,SE12,0.0
Metropolitana,13,2020-05-01,SE12,0.0
O’Higgins,06,2020-05-01,SE12,0.0
Maule,07,2020-05-01,SE12,0.0
Ñuble,16,2020-05-01,SE12,0.0
Biobío,08,2020-05-01,SE12,0.0
Araucanía,09,2020-05-01,SE12,0.0
Los Ríos,14,2020-05-01,SE12,0.0
Los Lagos,10,2020-05-01,SE12,10.0
Aysén,11,2020-05-01,SE12,0.0
Magallanes,12,2020-05-01,SE12,1.0
Arica y Parinacota,15,2020-05-18,SE12,0.0
Tarapacá,01,2020-05-18,SE12,0.0
Antofagasta,02,2020-05-18,SE12,0.0
Atacama,03,2020-05-18,SE12,0.0
Coquimbo,04,2020-05-18,SE12,0.0
Valparaíso,05,2020-05-18,SE12,0.0
Metropolitana,13,2020-05-18,SE12,0.0
O’Higgins,06,2020-05-18,SE12,0.0
Maule,07,2020-05-18,SE12,0.0
Ñuble,16,2020-05-18,SE12,0.0
Biobío,08,2020-05-18,SE12,0.0
Araucanía,09,2020-05-18,SE12,0.0
Los Ríos,14,2020-05-18,SE12,0.0
Los Lagos,10,2020-05-18,SE12,10.0
Aysén,11,2020-05-18,SE12,0.0
Magallanes,12,2020-05-18,SE12,0.0
Arica y Parinacota,15,2020-05-11,SE13,0.0
Tarapacá,01,2020-05-11,SE13,0.0
Antofagasta,02,2020-05-11,SE13,0.0
Atacama,03,2020-05-11,SE13,0.0
Coquimbo,04,2020-05-11,SE13,0.0
Valparaíso,05,2020-05-11,SE13,1.0
Metropolitana,13,2020-05-11,SE13,0.0
O’Higgins,06,2020-05-11,SE13,0.0
Maule,07,2020-05-11,SE13,0.0
Ñuble,16,2020-05-11,SE13,0.0
Biobío,08,2020-05-11,SE13,0.0
Araucanía,09,2020-05-11,SE13,0.0
Los Ríos,14,2020-05-11,SE13,0.0
Los Lagos,10,2020-05-11,SE13,1.0
Aysén,11,2020-05-11,SE13,0.0
Magallanes,12,2020-05-11,SE13,0.0
Arica y Parinacota,15,2020-05-08,SE13,0.0
Tarapacá,01,2020-05-08,SE13,0.0
Antofagasta,02,2020-05-08,SE13,0.0
Atacama,03,2020-05-08,SE13,0.0
Coquimbo,04,2020-05-08,SE13,0.0
Valparaíso,05,2020-05-08,SE13,1.0
Metropolitana,13,2020-05-08,SE13,0.0
O’Higgins,06,2020-05-08,SE13,0.0
Maule,07,2020-05-08,SE13,0.0
Ñuble,16,2020-05-08,SE13,0.0
Biobío,08,2020-05-08,SE13,0.0
Araucanía,09,2020-05-08,SE13,0.0
Los Ríos,14,2020-05-08,SE13,0.0
Los Lagos,10,2020-05-08,SE13,1.0
Aysén,11,2020-05-08,SE13,0.0
Magallanes,12,2020-05-08,SE13,0.0
Arica y Parinacota,15,2020-05-15,SE13,0.0
Tarapacá,01,2020-05-15,SE13,0.0
Antofagasta,02,2020-05-15,SE13,0.0
Atacama,03,2020-05-15,SE13,0.0
Coquimbo,04,2020-05-15,SE13,0.0
Valparaíso,05,2020-05-15,SE13,1.0
Metropolitana,13,2020-05-15,SE13,0.0
O’Higgins,06,2020-05-15,SE13,0.0
Maule,07,2020-05-15,SE13,0.0
Ñuble,16,2020-05-15,SE13,0.0
Biobío,08,2020-05-15,SE13,0.0
Araucanía,09,2020-05-15,SE13,0.0
Los Ríos,14,2020-05-15,SE13,0.0
Los Lagos,10,2020-05-15,SE13,1.0
Aysén,11,2020-05-15,SE13,0.0
Magallanes,12,2020-05-15,SE13,0.0
Arica y Parinacota,15,2020-05-22,SE13,0.0
Tarapacá,01,2020-05-22,SE13,0.0
Antofagasta,02,2020-05-22,SE13,0.0
Atacama,03,2020-05-22,SE13,0.0
Coquimbo,04,2020-05-22,SE13,0.0
Valparaíso,05,2020-05-22,SE13,1.0
Metropolitana,13,2020-05-22,SE13,0.0
O’Higgins,06,2020-05-22,SE13,0.0
Maule,07,2020-05-22,SE13,0.0
Ñuble,16,2020-05-22,SE13,0.0
Biobío,08,2020-05-22,SE13,0.0
Araucanía,09,2020-05-22,SE13,0.0
Los Ríos,14,2020-05-22,SE13,0.0
Los Lagos,10,2020-05-22,SE13,1.0
Aysén,11,2020-05-22,SE13,0.0
Magallanes,12,2020-05-22,SE13,0.0
Arica y Parinacota,15,2020-05-04,SE13,0.0
Tarapacá,01,2020-05-04,SE13,0.0
Antofagasta,02,2020-05-04,SE13,0.0
Atacama,03,2020-05-04,SE13,0.0
Coquimbo,04,2020-05-04,SE13,0.0
Valparaíso,05,2020-05-04,SE13,1.0
Metropolitana,13,2020-05-04,SE13,0.0
O’Higgins,06,2020-05-04,SE13,0.0
Maule,07,2020-05-04,SE13,0.0
Ñuble,16,2020-05-04,SE13,0.0
Biobío,08,2020-05-04,SE13,0.0
Araucanía,09,2020-05-04,SE13,0.0
Los Ríos,14,2020-05-04,SE13,0.0
Los Lagos,10,2020-05-04,SE13,1.0
Aysén,11,2020-05-04,SE13,0.0
Magallanes,12,2020-05-04,SE13,0.0
Arica y Parinacota,15,2020-05-01,SE13,0.0
Tarapacá,01,2020-05-01,SE13,0.0
Antofagasta,02,2020-05-01,SE13,0.0
Atacama,03,2020-05-01,SE13,0.0
Coquimbo,04,2020-05-01,SE13,0.0
Valparaíso,05,2020-05-01,SE13,1.0
Metropolitana,13,2020-05-01,SE13,0.0
O’Higgins,06,2020-05-01,SE13,0.0
Maule,07,2020-05-01,SE13,0.0
Ñuble,16,2020-05-01,SE13,0.0
Biobío,08,2020-05-01,SE13,0.0
Araucanía,09,2020-05-01,SE13,0.0
Los Ríos,14,2020-05-01,SE13,0.0
Los Lagos,10,2020-05-01,SE13,1.0
Aysén,11,2020-05-01,SE13,0.0
Magallanes,12,2020-05-01,SE13,0.0
Arica y Parinacota,15,2020-05-18,SE13,0.0
Tarapacá,01,2020-05-18,SE13,0.0
Antofagasta,02,2020-05-18,SE13,0.0
Atacama,03,2020-05-18,SE13,0.0
Coquimbo,04,2020-05-18,SE13,0.0
Valparaíso,05,2020-05-18,SE13,1.0
Metropolitana,13,2020-05-18,SE13,0.0
O’Higgins,06,2020-05-18,SE13,0.0
Maule,07,2020-05-18,SE13,0.0
Ñuble,16,2020-05-18,SE13,0.0
Biobío,08,2020-05-18,SE13,0.0
Araucanía,09,2020-05-18,SE13,0.0
Los Ríos,14,2020-05-18,SE13,0.0
Los Lagos,10,2020-05-18,SE13,1.0
Aysén,11,2020-05-18,SE13,0.0
Magallanes,12,2020-05-18,SE13,0.0
Arica y Parinacota,15,2020-05-11,SE14,0.0
Tarapacá,01,2020-05-11,SE14,0.0
Antofagasta,02,2020-05-11,SE14,0.0
Atacama,03,2020-05-11,SE14,0.0
Coquimbo,04,2020-05-11,SE14,0.0
Valparaíso,05,2020-05-11,SE14,0.0
Metropolitana,13,2020-05-11,SE14,0.0
O’Higgins,06,2020-05-11,SE14,0.0
Maule,07,2020-05-11,SE14,0.0
Ñuble,16,2020-05-11,SE14,0.0
Biobío,08,2020-05-11,SE14,0.0
Araucanía,09,2020-05-11,SE14,0.0
Los Ríos,14,2020-05-11,SE14,0.0
Los Lagos,10,2020-05-11,SE14,1.0
Aysén,11,2020-05-11,SE14,0.0
Magallanes,12,2020-05-11,SE14,0.0
Arica y Parinacota,15,2020-05-08,SE14,0.0
Tarapacá,01,2020-05-08,SE14,0.0
Antofagasta,02,2020-05-08,SE14,0.0
Atacama,03,2020-05-08,SE14,0.0
Coquimbo,04,2020-05-08,SE14,0.0
Valparaíso,05,2020-05-08,SE14,0.0
Metropolitana,13,2020-05-08,SE14,0.0
O’Higgins,06,2020-05-08,SE14,0.0
Maule,07,2020-05-08,SE14,0.0
Ñuble,16,2020-05-08,SE14,0.0
Biobío,08,2020-05-08,SE14,0.0
Araucanía,09,2020-05-08,SE14,0.0
Los Ríos,14,2020-05-08,SE14,0.0
Los Lagos,10,2020-05-08,SE14,1.0
Aysén,11,2020-05-08,SE14,0.0
Magallanes,12,2020-05-08,SE14,0.0
Arica y Parinacota,15,2020-05-15,SE14,0.0
Tarapacá,01,2020-05-15,SE14,0.0
Antofagasta,02,2020-05-15,SE14,0.0
Atacama,03,2020-05-15,SE14,0.0
Coquimbo,04,2020-05-15,SE14,0.0
Valparaíso,05,2020-05-15,SE14,0.0
Metropolitana,13,2020-05-15,SE14,0.0
O’Higgins,06,2020-05-15,SE14,0.0
Maule,07,2020-05-15,SE14,0.0
Ñuble,16,2020-05-15,SE14,0.0
Biobío,08,2020-05-15,SE14,0.0
Araucanía,09,2020-05-15,SE14,0.0
Los Ríos,14,2020-05-15,SE14,0.0
Los Lagos,10,2020-05-15,SE14,1.0
Aysén,11,2020-05-15,SE14,0.0
Magallanes,12,2020-05-15,SE14,0.0
Arica y Parinacota,15,2020-05-22,SE14,0.0
Tarapacá,01,2020-05-22,SE14,0.0
Antofagasta,02,2020-05-22,SE14,0.0
Atacama,03,2020-05-22,SE14,0.0
Coquimbo,04,2020-05-22,SE14,0.0
Valparaíso,05,2020-05-22,SE14,0.0
Metropolitana,13,2020-05-22,SE14,0.0
O’Higgins,06,2020-05-22,SE14,0.0
Maule,07,2020-05-22,SE14,0.0
Ñuble,16,2020-05-22,SE14,0.0
Biobío,08,2020-05-22,SE14,0.0
Araucanía,09,2020-05-22,SE14,0.0
Los Ríos,14,2020-05-22,SE14,0.0
Los Lagos,10,2020-05-22,SE14,1.0
Aysén,11,2020-05-22,SE14,0.0
Magallanes,12,2020-05-22,SE14,0.0
Arica y Parinacota,15,2020-05-04,SE14,0.0
Tarapacá,01,2020-05-04,SE14,0.0
Antofagasta,02,2020-05-04,SE14,0.0
Atacama,03,2020-05-04,SE14,0.0
Coquimbo,04,2020-05-04,SE14,0.0
Valparaíso,05,2020-05-04,SE14,0.0
Metropolitana,13,2020-05-04,SE14,0.0
O’Higgins,06,2020-05-04,SE14,0.0
Maule,07,2020-05-04,SE14,0.0
Ñuble,16,2020-05-04,SE14,0.0
Biobío,08,2020-05-04,SE14,0.0
Araucanía,09,2020-05-04,SE14,0.0
Los Ríos,14,2020-05-04,SE14,0.0
Los Lagos,10,2020-05-04,SE14,1.0
Aysén,11,2020-05-04,SE14,0.0
Magallanes,12,2020-05-04,SE14,0.0
Arica y Parinacota,15,2020-05-01,SE14,0.0
Tarapacá,01,2020-05-01,SE14,0.0
Antofagasta,02,2020-05-01,SE14,0.0
Atacama,03,2020-05-01,SE14,0.0
Coquimbo,04,2020-05-01,SE14,0.0
Valparaíso,05,2020-05-01,SE14,0.0
Metropolitana,13,2020-05-01,SE14,0.0
O’Higgins,06,2020-05-01,SE14,0.0
Maule,07,2020-05-01,SE14,0.0
Ñuble,16,2020-05-01,SE14,0.0
Biobío,08,2020-05-01,SE14,0.0
Araucanía,09,2020-05-01,SE14,0.0
Los Ríos,14,2020-05-01,SE14,0.0
Los Lagos,10,2020-05-01,SE14,1.0
Aysén,11,2020-05-01,SE14,0.0
Magallanes,12,2020-05-01,SE14,0.0
Arica y Parinacota,15,2020-05-18,SE14,0.0
Tarapacá,01,2020-05-18,SE14,0.0
Antofagasta,02,2020-05-18,SE14,0.0
Atacama,03,2020-05-18,SE14,0.0
Coquimbo,04,2020-05-18,SE14,0.0
Valparaíso,05,2020-05-18,SE14,0.0
Metropolitana,13,2020-05-18,SE14,0.0
O’Higgins,06,2020-05-18,SE14,0.0
Maule,07,2020-05-18,SE14,0.0
Ñuble,16,2020-05-18,SE14,0.0
Biobío,08,2020-05-18,SE14,0.0
Araucanía,09,2020-05-18,SE14,0.0
Los Ríos,14,2020-05-18,SE14,0.0
Los Lagos,10,2020-05-18,SE14,1.0
Aysén,11,2020-05-18,SE14,0.0
Magallanes,12,2020-05-18,SE14,0.0
Arica y Parinacota,15,2020-05-11,SE15,0.0
Tarapacá,01,2020-05-11,SE15,0.0
Antofagasta,02,2020-05-11,SE15,0.0
Atacama,03,2020-05-11,SE15,0.0
Coquimbo,04,2020-05-11,SE15,0.0
Valparaíso,05,2020-05-11,SE15,0.0
Metropolitana,13,2020-05-11,SE15,0.0
O’Higgins,06,2020-05-11,SE15,0.0
Maule,07,2020-05-11,SE15,0.0
Ñuble,16,2020-05-11,SE15,0.0
Biobío,08,2020-05-11,SE15,0.0
Araucanía,09,2020-05-11,SE15,0.0
Los Ríos,14,2020-05-11,SE15,0.0
Los Lagos,10,2020-05-11,SE15,0.0
Aysén,11,2020-05-11,SE15,0.0
Magallanes,12,2020-05-11,SE15,0.0
Arica y Parinacota,15,2020-05-08,SE15,0.0
Tarapacá,01,2020-05-08,SE15,0.0
Antofagasta,02,2020-05-08,SE15,0.0
Atacama,03,2020-05-08,SE15,0.0
Coquimbo,04,2020-05-08,SE15,0.0
Valparaíso,05,2020-05-08,SE15,0.0
Metropolitana,13,2020-05-08,SE15,0.0
O’Higgins,06,2020-05-08,SE15,0.0
Maule,07,2020-05-08,SE15,0.0
Ñuble,16,2020-05-08,SE15,0.0
Biobío,08,2020-05-08,SE15,0.0
Araucanía,09,2020-05-08,SE15,0.0
Los Ríos,14,2020-05-08,SE15,0.0
Los Lagos,10,2020-05-08,SE15,0.0
Aysén,11,2020-05-08,SE15,0.0
Magallanes,12,2020-05-08,SE15,0.0
Arica y Parinacota,15,2020-05-15,SE15,0.0
Tarapacá,01,2020-05-15,SE15,0.0
Antofagasta,02,2020-05-15,SE15,0.0
Atacama,03,2020-05-15,SE15,0.0
Coquimbo,04,2020-05-15,SE15,0.0
Valparaíso,05,2020-05-15,SE15,0.0
Metropolitana,13,2020-05-15,SE15,0.0
O’Higgins,06,2020-05-15,SE15,0.0
Maule,07,2020-05-15,SE15,0.0
Ñuble,16,2020-05-15,SE15,0.0
Biobío,08,2020-05-15,SE15,0.0
Araucanía,09,2020-05-15,SE15,0.0
Los Ríos,14,2020-05-15,SE15,0.0
Los Lagos,10,2020-05-15,SE15,0.0
Aysén,11,2020-05-15,SE15,0.0
Magallanes,12,2020-05-15,SE15,0.0
Arica y Parinacota,15,2020-05-22,SE15,0.0
Tarapacá,01,2020-05-22,SE15,0.0
Antofagasta,02,2020-05-22,SE15,0.0
Atacama,03,2020-05-22,SE15,0.0
Coquimbo,04,2020-05-22,SE15,0.0
Valparaíso,05,2020-05-22,SE15,0.0
Metropolitana,13,2020-05-22,SE15,0.0
O’Higgins,06,2020-05-22,SE15,0.0
Maule,07,2020-05-22,SE15,0.0
Ñuble,16,2020-05-22,SE15,0.0
Biobío,08,2020-05-22,SE15,0.0
Araucanía,09,2020-05-22,SE15,0.0
Los Ríos,14,2020-05-22,SE15,0.0
Los Lagos,10,2020-05-22,SE15,0.0
Aysén,11,2020-05-22,SE15,0.0
Magallanes,12,2020-05-22,SE15,0.0
Arica y Parinacota,15,2020-05-04,SE15,0.0
Tarapacá,01,2020-05-04,SE15,0.0
Antofagasta,02,2020-05-04,SE15,0.0
Atacama,03,2020-05-04,SE15,0.0
Coquimbo,04,2020-05-04,SE15,0.0
Valparaíso,05,2020-05-04,SE15,0.0
Metropolitana,13,2020-05-04,SE15,0.0
O’Higgins,06,2020-05-04,SE15,0.0
Maule,07,2020-05-04,SE15,0.0
Ñuble,16,2020-05-04,SE15,0.0
Biobío,08,2020-05-04,SE15,0.0
Araucanía,09,2020-05-04,SE15,1.0
Los Ríos,14,2020-05-04,SE15,0.0
Los Lagos,10,2020-05-04,SE15,0.0
Aysén,11,2020-05-04,SE15,0.0
Magallanes,12,2020-05-04,SE15,0.0
Arica y Parinacota,15,2020-05-01,SE15,0.0
Tarapacá,01,2020-05-01,SE15,0.0
Antofagasta,02,2020-05-01,SE15,0.0
Atacama,03,2020-05-01,SE15,0.0
Coquimbo,04,2020-05-01,SE15,0.0
Valparaíso,05,2020-05-01,SE15,0.0
Metropolitana,13,2020-05-01,SE15,0.0
O’Higgins,06,2020-05-01,SE15,0.0
Maule,07,2020-05-01,SE15,0.0
Ñuble,16,2020-05-01,SE15,0.0
Biobío,08,2020-05-01,SE15,0.0
Araucanía,09,2020-05-01,SE15,1.0
Los Ríos,14,2020-05-01,SE15,0.0
Los Lagos,10,2020-05-01,SE15,0.0
Aysén,11,2020-05-01,SE15,0.0
Magallanes,12,2020-05-01,SE15,0.0
Arica y Parinacota,15,2020-05-18,SE15,0.0
Tarapacá,01,2020-05-18,SE15,0.0
Antofagasta,02,2020-05-18,SE15,0.0
Atacama,03,2020-05-18,SE15,0.0
Coquimbo,04,2020-05-18,SE15,0.0
Valparaíso,05,2020-05-18,SE15,0.0
Metropolitana,13,2020-05-18,SE15,0.0
O’Higgins,06,2020-05-18,SE15,0.0
Maule,07,2020-05-18,SE15,0.0
Ñuble,16,2020-05-18,SE15,0.0
Biobío,08,2020-05-18,SE15,0.0
Araucanía,09,2020-05-18,SE15,0.0
Los Ríos,14,2020-05-18,SE15,0.0
Los Lagos,10,2020-05-18,SE15,0.0
Aysén,11,2020-05-18,SE15,0.0
Magallanes,12,2020-05-18,SE15,0.0
Arica y Parinacota,15,2020-05-11,SE16,0.0
Tarapacá,01,2020-05-11,SE16,0.0
Antofagasta,02,2020-05-11,SE16,0.0
Atacama,03,2020-05-11,SE16,0.0
Coquimbo,04,2020-05-11,SE16,0.0
Valparaíso,05,2020-05-11,SE16,0.0
Metropolitana,13,2020-05-11,SE16,1.0
O’Higgins,06,2020-05-11,SE16,0.0
Maule,07,2020-05-11,SE16,0.0
Ñuble,16,2020-05-11,SE16,0.0
Biobío,08,2020-05-11,SE16,0.0
Araucanía,09,2020-05-11,SE16,0.0
Los Ríos,14,2020-05-11,SE16,0.0
Los Lagos,10,2020-05-11,SE16,0.0
Aysén,11,2020-05-11,SE16,0.0
Magallanes,12,2020-05-11,SE16,0.0
Arica y Parinacota,15,2020-05-08,SE16,0.0
Tarapacá,01,2020-05-08,SE16,0.0
Antofagasta,02,2020-05-08,SE16,0.0
Atacama,03,2020-05-08,SE16,0.0
Coquimbo,04,2020-05-08,SE16,0.0
Valparaíso,05,2020-05-08,SE16,0.0
Metropolitana,13,2020-05-08,SE16,1.0
O’Higgins,06,2020-05-08,SE16,0.0
Maule,07,2020-05-08,SE16,0.0
Ñuble,16,2020-05-08,SE16,0.0
Biobío,08,2020-05-08,SE16,0.0
Araucanía,09,2020-05-08,SE16,0.0
Los Ríos,14,2020-05-08,SE16,0.0
Los Lagos,10,2020-05-08,SE16,0.0
Aysén,11,2020-05-08,SE16,0.0
Magallanes,12,2020-05-08,SE16,0.0
Arica y Parinacota,15,2020-05-15,SE16,0.0
Tarapacá,01,2020-05-15,SE16,0.0
Antofagasta,02,2020-05-15,SE16,0.0
Atacama,03,2020-05-15,SE16,0.0
Coquimbo,04,2020-05-15,SE16,0.0
Valparaíso,05,2020-05-15,SE16,0.0
Metropolitana,13,2020-05-15,SE16,1.0
O’Higgins,06,2020-05-15,SE16,0.0
Maule,07,2020-05-15,SE16,0.0
Ñuble,16,2020-05-15,SE16,0.0
Biobío,08,2020-05-15,SE16,0.0
Araucanía,09,2020-05-15,SE16,0.0
Los Ríos,14,2020-05-15,SE16,0.0
Los Lagos,10,2020-05-15,SE16,0.0
Aysén,11,2020-05-15,SE16,0.0
Magallanes,12,2020-05-15,SE16,0.0
Arica y Parinacota,15,2020-05-22,SE16,0.0
Tarapacá,01,2020-05-22,SE16,0.0
Antofagasta,02,2020-05-22,SE16,0.0
Atacama,03,2020-05-22,SE16,0.0
Coquimbo,04,2020-05-22,SE16,0.0
Valparaíso,05,2020-05-22,SE16,0.0
Metropolitana,13,2020-05-22,SE16,1.0
O’Higgins,06,2020-05-22,SE16,0.0
Maule,07,2020-05-22,SE16,0.0
Ñuble,16,2020-05-22,SE16,0.0
Biobío,08,2020-05-22,SE16,0.0
Araucanía,09,2020-05-22,SE16,0.0
Los Ríos,14,2020-05-22,SE16,0.0
Los Lagos,10,2020-05-22,SE16,0.0
Aysén,11,2020-05-22,SE16,0.0
Magallanes,12,2020-05-22,SE16,0.0
Arica y Parinacota,15,2020-05-04,SE16,0.0
Tarapacá,01,2020-05-04,SE16,0.0
Antofagasta,02,2020-05-04,SE16,0.0
Atacama,03,2020-05-04,SE16,0.0
Coquimbo,04,2020-05-04,SE16,0.0
Valparaíso,05,2020-05-04,SE16,0.0
Metropolitana,13,2020-05-04,SE16,1.0
O’Higgins,06,2020-05-04,SE16,0.0
Maule,07,2020-05-04,SE16,0.0
Ñuble,16,2020-05-04,SE16,0.0
Biobío,08,2020-05-04,SE16,0.0
Araucanía,09,2020-05-04,SE16,0.0
Los Ríos,14,2020-05-04,SE16,0.0
Los Lagos,10,2020-05-04,SE16,0.0
Aysén,11,2020-05-04,SE16,0.0
Magallanes,12,2020-05-04,SE16,0.0
Arica y Parinacota,15,2020-05-01,SE16,0.0
Tarapacá,01,2020-05-01,SE16,0.0
Antofagasta,02,2020-05-01,SE16,0.0
Atacama,03,2020-05-01,SE16,0.0
Coquimbo,04,2020-05-01,SE16,0.0
Valparaíso,05,2020-05-01,SE16,0.0
Metropolitana,13,2020-05-01,SE16,1.0
O’Higgins,06,2020-05-01,SE16,0.0
Maule,07,2020-05-01,SE16,0.0
Ñuble,16,2020-05-01,SE16,0.0
Biobío,08,2020-05-01,SE16,0.0
Araucanía,09,2020-05-01,SE16,0.0
Los Ríos,14,2020-05-01,SE16,0.0
Los Lagos,10,2020-05-01,SE16,0.0
Aysén,11,2020-05-01,SE16,0.0
Magallanes,12,2020-05-01,SE16,1.0
Arica y Parinacota,15,2020-05-18,SE16,0.0
Tarapacá,01,2020-05-18,SE16,0.0
Antofagasta,02,2020-05-18,SE16,0.0
Atacama,03,2020-05-18,SE16,0.0
Coquimbo,04,2020-05-18,SE16,0.0
Valparaíso,05,2020-05-18,SE16,0.0
Metropolitana,13,2020-05-18,SE16,1.0
O’Higgins,06,2020-05-18,SE16,0.0
Maule,07,2020-05-18,SE16,0.0
Ñuble,16,2020-05-18,SE16,0.0
Biobío,08,2020-05-18,SE16,0.0
Araucanía,09,2020-05-18,SE16,0.0
Los Ríos,14,2020-05-18,SE16,0.0
Los Lagos,10,2020-05-18,SE16,0.0
Aysén,11,2020-05-18,SE16,0.0
Magallanes,12,2020-05-18,SE16,0.0
Arica y Parinacota,15,2020-05-11,SE17,0.0
Tarapacá,01,2020-05-11,SE17,0.0
